Unnamed: 0,Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year,Turbidity (NTU),Dissolved Oxygen (mg/L),BOD (mg/L),TDS (mg/L),Hardness (mg/L),Potability
0,15.0,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,23.0,28.0,6.82,7.85,195.0,226.0,2012,4.070235476608438,10.13434482324264,0.962007892565877,578.8107753016275,104.9506796146973,Drinkable
1,16.0,WELL AT TADAVAI A.P.,ANDHRA PRADESH,27.0,28.0,7.21,7.72,663.0,1121.0,2012,11.564507699318415,10.595563969179368,7.927889355973482,529.0663367516643,205.74681299829658,Not Drinkable
2,26.0,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,26.0,32.0,7.19,7.39,1601.0,1661.0,2012,14.543769416468379,10.297228663216243,1.0700855606160173,920.2251467177725,217.96473155741396,Not Drinkable
3,27.0,"WELL AT PEDDAVOORA, A.P.",ANDHRA PRADESH,26.0,27.0,7.82,8.8,1420.0,1668.0,2012,11.564507699318415,10.297228663216243,6.486624906898167,1198.7844959941026,182.1254742791374,Not Drinkable
4,1513.0,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,25.0,30.0,6.8,7.11,1454.0,1575.0,2012,10.979909127171076,3.2627113710773186,6.434437703644134,1043.7416464238488,123.06615103687686,Not Drinkable
5,1514.0,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST.",ANDHRA PRADESH,24.0,31.0,6.77,7.43,1559.0,1649.0,2012,11.411775729253462,7.726428531155846,0.27791957955825186,506.40189911210433,475.3028879993013,Not Drinkable
6,1515.0,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,22.0,24.0,6.95,7.2,1788.0,2160.0,2012,1.6183714048995668,5.0788638201624945,7.927889355973482,1331.9088438643166,376.47755829129255,Not Drinkable
7,1516.0,B W OF NAVLOK GARDENS NELLORE,ANDHRA PRADESH,29.0,29.0,7.46,8.04,696.0,1082.0,2012,2.0924079097806274,9.84769681824988,1.7905446884514307,1913.2927695478586,117.37650386578564,Not Drinkable
8,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,26.0,27.0,7.39,8.0,1240.0,1662.0,2012,3.185086660174142,10.13434482324264,5.56157167762569,198.38854349182816,123.80978508294348,Not Drinkable
9,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,26.0,28.0,7.17,8.2,1650.0,2850.0,2012,7.427653651669052,10.913182063602987,2.8058983872344703,344.3149445694194,373.33998183651636,Not Drinkable
10,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,18.0,28.0,7.05,7.8,1460.0,2130.0,2012,7.713516576204174,8.144857775116312,0.01449627095401329,1771.616308892647,220.3137728273172,Not Drinkable
11,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST.",ANDHRA PRADESH,20.0,26.0,7.36,8.4,829.0,1428.0,2012,14.48448049611839,10.059789008675837,1.6377115807608105,1742.9565294630743,85.10841455033145,Not Drinkable
